,Auburn,Baylor,Chapman,UArkansas,UCDavis,UCIrvine,UCMerced,UCSB,UCSD,USC,William
Auburn,0.9999999999999988,0.8227791168403087,0.8724805274134869,0.8701116960666234,0.8931608381931213,0.8780095841621913,0.9111275888726181,0.8990896191309615,0.8948231126239775,0.8990053152493133,0.882696724568791
Baylor,0.8227791168403087,1.000000000000001,0.7981526080520951,0.846425191038069,0.8139161805056417,0.7985401314332174,0.8163594077833253,0.8186284955439493,0.7968377096307709,0.805348407900013,0.8137522446833328
Chapman,0.8724805274134869,0.7981526080520951,1.0000000000000009,0.8497271541390916,0.8970567469988449,0.929879095151145,0.8914886451144726,0.8890423291608647,0.8954220960064371,0.9066090307876028,0.8644787578522115
UArkansas,0.8701116960666234,0.846425191038069,0.8497271541390916,1.0000000000000002,0.8647286903801267,0.846557498209499,0.8668864339803272,0.8565369614179198,0.8456038722388779,0.866223390580299,0.8410955328977389
UCDavis,0.8931608381931213,0.8139161805056417,0.8970567469988449,0.8647286903801267,1.0000000000000004,0.9056923036514432,0.9356707970616468,0.9172244214516783,0.9182483878617235,0.9134415313450087,0.8845831583569324
UCIrvine,0.8780095841621913,0.7985401314332174,0.929879095151145,0.846557498209499,0.9056923036514432,1.0,0.9123329253527357,0.9096381366466062,0.90681786235388,0.9063166084665725,0.866971620385394
UCMerced,0.9111275888726181,0.8163594077833253,0.8914886451144726,0.8668864339803272,0.9356707970616468,0.9123329253527357,0.9999999999999991,0.9235046091385907,0.9164526392558088,0.9184804320532294,0.8812374222355679
UCSB,0.8990896191309615,0.8186284955439493,0.8890423291608647,0.8565369614179198,0.9172244214516783,0.9096381366466062,0.9235046091385907,0.9999999999999994,0.9317897447240987,0.9197416649235425,0.8784219502212588
UCSD,0.8948231126239775,0.7968377096307709,0.8954220960064371,0.8456038722388779,0.9182483878617235,0.90681786235388,0.9164526392558088,0.9317897447240987,1.0,0.9114078030784947,0.8761078952258532
USC,0.8990053152493133,0.805348407900013,0.9066090307876028,0.866223390580299,0.9134415313450087,0.9063166084665725,0.9184804320532294,0.9197416649235425,0.9114078030784947,1.0000000000000004,0.8879370225577229
William,0.882696724568791,0.8137522446833328,0.8644787578522115,0.8410955328977389,0.8845831583569324,0.866971620385394,0.8812374222355679,0.8784219502212588,0.8761078952258532,0.8879370225577229,0.999999999999999
