Institution,LibGuideURL,Type
USC,https://libguides.usc.edu/c.php?g=1457247&p=10834902,LibGuide
William & Mary,https://guides.libraries.wm.edu/c.php?g=1317202&p=9800521,LibGuide
UArkansas,https://libguides.uark.edu/AI/databases,LibGuide
Auburn University,https://libguides.auburn.edu/c.php?g=1444337&p=11197943,LibGuide
NIH,https://www.youtube.com/watch?v=3WU_jumppN4,YouTube
Baylor University,https://libguides.baylor.edu/c.php?g=1441620&p=10759204,LibGuide
UCIrvine,https://guides.lib.uci.edu/gen-ai,LibGuide
UCSD,https://ucsd.libguides.com/AI,LibGuide
UCMerced,https://libguides.ucmerced.edu/artificial-intelligence,LibGuide
UCLA Teaching & Learning Center,https://teaching.ucla.edu/resources/teaching-guides/using-generative-ai-reflectively-and-responsibly-in-teaching-and-learning/,Page
UCDavis,https://guides.library.ucdavis.edu/genai,LibGuide
UCSB,https://guides.library.ucsb.edu/ai,LibGuide
Oregon State University (AI Literacy Center),https://ailiteracycenter.oregonstate.edu/,Videos
College of the Canyons (Exploring AI Series - Canvas Commons; Curriculum Resource),https://ucsb.instructure.com/accounts/1/external_tools/143?launch_type=global_navigation&toolId=commons-143,OnlineCourse
Chapman University,https://libguides.chapman.edu/FFC/digital_literacy/,LibGuide
